frame,time,hand_x,hand_y,hand_z,foot_x,foot_y,foot_z
0,0.0,45.5309,35.5287,46.1088,36.9469,78.2535,0.7067
1,0.033472092115534736,45.5443,35.5287,45.7659,37.0175,77.3329,0.8554
2,0.06694418423106947,45.5544,35.5287,45.6186,37.0300,78.2515,0.7655
3,0.10041627634660422,45.6418,35.5287,45.5633,37.0146,78.2519,0.7894
4,0.13388836846213895,45.6273,35.5287,45.6236,37.0433,78.2512,0.8522
5,0.1673604605776737,45.6308,35.5287,45.5580,37.0188,78.2518,0.8459
6,0.20083255269320843,45.5298,35.5287,45.5036,36.9991,78.2523,0.7996
7,0.23430464480874316,45.5496,35.5287,45.4572,37.0555,78.2509,0.8006
8,0.2677767369242779,45.6126,35.5287,45.4783,37.0219,78.2517,0.7755
9,0.30124882903981265,45.6660,35.5287,45.5193,37.0091,78.2520,0.8211
10,0.3347209211553474,45.6878,35.5287,45.5701,36.9918,78.2524,0.8409
11,0.3681930132708821,45.7126,35.5287,45.5659,37.0056,78.2521,0.8606
12,0.40166510538641687,45.7470,35.5287,45.5767,37.0122,79.1793,0.7591
13,0.4351371975019516,45.7365,35.5287,45.5521,37.0018,79.1796,0.7881
14,0.4686092896174863,45.7210,35.5287,45.5857,36.9864,79.1800,0.7715
15,0.5020813817330211,45.6682,35.5287,45.5791,36.9305,79.1813,0.8194
16,0.5355534738485558,45.5397,35.5287,45.6140,36.9179,79.1816,0.8511
17,0.5690255659640906,45.5391,35.5287,45.5844,36.9746,79.1802,0.8177
18,0.6024976580796253,45.4399,35.5287,45.5535,36.9923,79.1798,0.7710
19,0.63596975019516,45.4605,35.5287,45.5900,36.9410,79.1811,0.7919
20,0.6694418423106948,45.3739,35.5287,45.5269,36.9642,79.1805,0.7951
21,0.7029139344262295,45.1213,35.5287,45.4958,36.9352,79.1812,0.8498
22,0.7363860265417642,45.3667,35.5287,45.6693,36.9353,80.1172,0.7448
23,0.769858118657299,45.3492,35.5287,45.6650,36.9216,79.1815,0.8443
24,0.8033302107728337,45.3663,35.5287,45.6852,36.9836,79.1800,0.8186
25,0.8368023028883684,45.5596,35.5287,45.8314,37.0055,79.1795,0.8518
26,0.8702743950039032,45.5511,35.5287,45.8571,37.0045,79.1795,0.8416
27,0.903746487119438,45.5549,35.5287,45.8769,36.9992,79.1796,0.8495
28,0.9372185792349726,45.5577,35.5287,45.9789,37.0163,80.1152,0.7473
29,0.9706906713505075,45.3971,35.5287,45.9101,37.0457,80.1145,0.7619
30,1.0041627634660422,45.2064,35.5287,45.8527,37.0608,80.1142,0.7501
31,1.0376348555815769,45.2492,35.5287,45.8883,37.0623,80.1141,0.7712
32,1.0711069476971116,45.2847,35.5287,45.9818,37.0531,80.1143,0.8464
33,1.1045790398126463,45.3125,35.5287,46.0321,37.0879,80.1135,0.8914
34,1.1380511319281812,45.3623,35.5287,46.0775,37.1009,80.1132,0.8940
35,1.171523224043716,45.4453,35.5287,46.1191,37.1246,80.1126,0.8989
36,1.2049953161592506,45.4386,35.5287,46.1477,37.1120,81.0576,0.7680
37,1.2384674082747853,45.4150,35.5287,46.0589,37.1032,80.1131,0.8478
38,1.27193950039032,45.4156,35.5287,46.0990,37.1375,80.1123,0.8805
39,1.3054115925058547,45.4541,35.5287,46.1214,37.1249,81.0573,0.7616
40,1.3388836846213896,45.4566,35.5287,46.1181,37.2060,81.0554,0.7602
41,1.3723557767369243,45.3769,35.5287,46.0665,37.2387,80.1099,0.8772
42,1.405827868852459,45.3270,35.5287,46.0517,37.2341,80.1100,0.8507
43,1.4392999609679937,45.2633,35.5287,46.1187,37.2013,80.1108,0.8154
44,1.4727720530835284,45.4409,35.5287,46.3513,37.2038,79.1747,0.8955
45,1.5062441451990631,45.5148,35.5287,46.3965,37.1952,78.2475,0.8946
46,1.539716237314598,45.2084,35.5287,45.6451,37.2216,78.2468,0.8397
47,1.5731883294301328,45.1123,35.5287,45.6340,37.2833,77.3263,0.9365
48,1.6066604215456675,44.9876,35.5287,45.7055,37.3707,77.3242,0.9373
49,1.6401325136612022,44.8365,35.5287,45.4605,37.4302,77.3227,0.9461
50,1.6736046057767369,44.7571,35.5287,45.1746,37.4619,77.3219,0.9250
51,1.7070766978922716,44.8150,35.5287,44.8417,37.4867,77.3213,0.8997
52,1.7405487900078065,45.1035,35.5287,45.4345,37.5624,77.3194,0.8529
53,1.7740208821233412,45.0332,35.5287,45.4475,37.6019,77.3185,0.8488
