frame,color,cx,cy,x,y,w,h,area
0,red,856.08,201.55,823,154,63,92,3089
0,red,896.28,295.22,889,292,16,7,74
0,red,892.75,312.54,884,305,23,15,160
0,red,952.70,423.45,935,354,33,147,2981
0,red,755.50,459.16,743,376,25,142,1886
0,red,916.77,666.31,883,600,60,134,5328
0,red,812.79,685.36,790,614,53,152,5372
0,red,812.72,792.20,804,787,19,11,95
0,blue,775.32,599.43,772,596,7,9,53
0,blue,553.32,684.67,542,672,23,25,467
0,blue,1392.03,689.06,1381,677,22,24,433
0,blue,228.57,887.61,224,877,9,19,127
1,red,856.46,200.50,823,154,63,92,2973
1,red,897.06,295.63,889,292,16,7,71
1,red,890.52,314.50,884,310,15,10,118
1,red,949.98,416.38,933,355,33,129,2622
1,red,755.16,459.49,742,379,26,138,1872
1,red,916.55,666.39,883,601,60,134,5354
1,red,812.49,685.53,790,615,52,151,5392
1,red,812.07,793.07,804,788,18,11,100
1,blue,774.97,599.41,771,596,8,9,59
1,blue,553.14,685.06,543,673,22,24,454
1,blue,1392.08,689.16,1381,677,22,24,438
1,blue,228.24,887.39,224,877,8,19,116
2,red,856.75,200.69,823,154,64,92,3078
2,red,884.78,290.85,881,288,8,6,41
2,red,896.91,295.87,890,292,15,8,68
2,red,891.06,314.55,885,310,14,11,112
2,red,946.47,405.69,928,355,37,106,2233
2,red,755.16,458.83,742,375,27,142,1970
2,red,916.37,666.67,882,601,60,134,5360
2,red,812.40,685.40,790,615,52,151,5382
2,red,812.11,793.10,804,788,18,11,100
2,blue,774.75,599.25,771,596,8,9,55
2,blue,552.99,685.04,543,673,21,24,453
2,blue,1391.92,689.40,1381,677,22,24,430
2,blue,228.01,888.10,224,878,8,18,106
3,red,857.26,202.43,825,156,63,90,3039
3,red,897.79,295.34,891,292,14,7,71
3,red,893.50,313.03,886,307,17,13,145
3,red,942.91,393.20,923,354,40,86,1866
3,red,754.78,456.61,741,374,26,143,1980
3,red,915.93,666.77,882,601,60,134,5345
3,red,812.00,685.47,790,615,51,151,5380
3,red,812.04,792.78,804,788,18,10,92
3,blue,774.53,599.73,771,596,7,10,55
3,blue,552.63,685.16,542,673,22,24,467
3,blue,1391.65,689.48,1380,677,23,24,436
3,blue,228.01,888.10,224,878,8,18,106
3,blue,1668.61,898.29,1667,893,4,11,41
4,red,858.46,200.22,826,156,62,89,2963
4,red,898.46,294.66,891,291,15,7,67
4,red,893.40,312.96,886,307,16,12,139
