frame,status,foot_space_x,foot_space_y,foot_cx,foot_cy,foot_area,hand_space_x,hand_space_y,hand_space_z,hand_cx,hand_cy,hand_area,hand_to_foot_dx,hand_to_foot_dy,hand_to_foot_dz,hand_to_foot_distance_2d,hand_to_foot_distance_3d,red_candidates
0,ok,53.42,83.02,1002.38,794.58,1085,53.12,-404.69,3.5175,1041.04,235.35,989,-0.30,-487.71,3.5175,487.71,487.72,2
1,ok,53.42,83.02,1002.49,794.54,1084,53.11,-404.70,3.5175,1041.45,235.38,1012,-0.31,-487.72,3.5175,487.72,487.73,2
2,ok,53.42,83.02,1002.92,794.62,1078,53.11,-404.71,3.5174,1042.40,235.54,1031,-0.31,-487.73,3.5174,487.73,487.74,2
3,ok,53.42,83.02,1003.03,794.67,1072,53.11,-404.71,3.5174,1042.00,235.31,986,-0.31,-487.73,3.5174,487.73,487.74,2
4,ok,53.42,83.02,1002.97,794.52,1076,53.12,-404.72,3.5174,1041.98,235.37,966,-0.30,-487.74,3.5174,487.74,487.75,2
5,ok,53.42,83.02,1002.94,794.40,1079,53.12,-404.73,3.5173,1041.91,235.25,968,-0.30,-487.75,3.5173,487.75,487.76,2
6,ok,53.42,83.02,1002.81,794.31,1079,53.12,-404.73,3.5173,1041.86,235.35,970,-0.30,-487.75,3.5173,487.75,487.76,2
7,ok,53.41,83.02,1002.86,794.31,1083,53.12,-404.74,3.5173,1042.02,235.40,966,-0.29,-487.76,3.5173,487.76,487.77,2
8,ok,53.41,83.02,1002.83,794.34,1079,53.12,-404.74,3.5173,1042.17,235.28,970,-0.29,-487.76,3.5173,487.76,487.77,2
9,ok,53.41,83.02,1002.83,794.25,1085,53.13,-404.75,3.5173,1042.06,235.33,953,-0.28,-487.77,3.5173,487.77,487.78,2
10,ok,53.41,83.02,1002.77,794.24,1086,53.13,-404.75,3.5172,1042.16,235.33,983,-0.28,-487.77,3.5172,487.77,487.78,2
11,ok,53.41,83.03,1002.79,794.26,1086,53.14,-404.76,3.5172,1042.18,235.52,986,-0.27,-487.79,3.5172,487.79,487.80,2
12,ok,53.41,83.03,1002.67,794.25,1091,53.15,-404.76,3.5172,1042.44,235.76,988,-0.26,-487.79,3.5172,487.79,487.80,2
13,ok,53.41,83.03,1002.58,794.18,1093,53.16,-404.76,3.5172,1042.17,235.43,946,-0.25,-487.79,3.5172,487.79,487.80,2
14,ok,53.40,83.03,1002.55,794.26,1091,53.18,-404.76,3.5172,1042.15,235.56,957,-0.22,-487.79,3.5172,487.79,487.80,2
15,ok,53.40,83.03,1002.54,794.28,1092,53.20,-404.77,3.5172,1042.07,235.56,938,-0.20,-487.80,3.5172,487.80,487.81,2
16,ok,53.40,83.03,1002.55,794.22,1093,53.22,-404.77,3.5172,1042.38,235.55,969,-0.18,-487.80,3.5172,487.80,487.81,2
17,ok,53.40,83.03,1002.47,794.32,1090,53.25,-404.78,3.5172,1042.15,235.63,942,-0.15,-487.81,3.5172,487.81,487.82,2
18,ok,53.39,83.03,1002.50,794.37,1091,53.28,-404.79,3.5172,1042.29,235.71,948,-0.11,-487.82,3.5172,487.82,487.83,2
19,ok,53.39,83.03,1002.50,794.37,1088,53.32,-404.81,3.5171,1042.54,235.66,968,-0.07,-487.84,3.5171,487.84,487.85,2
20,ok,53.39,83.03,1002.43,794.38,1091,53.36,-404.83,3.5171,1042.50,235.80,948,-0.03,-487.86,3.5171,487.86,487.87,2
21,ok,53.38,83.04,1002.35,794.40,1094,53.40,-404.85,3.5170,1042.38,235.77,946,0.02,-487.89,3.5170,487.89,487.90,2
22,ok,53.38,83.04,1002.37,794.25,1089,53.45,-404.87,3.5170,1042.12,235.55,955,0.07,-487.91,3.5170,487.91,487.92,2
23,ok,53.37,83.04,1002.39,794.23,1090,53.51,-404.89,3.5169,1042.09,235.48,963,0.14,-487.93,3.5169,487.93,487.94,2
24,ok,53.37,83.04,1002.32,794.30,1083,53.57,-404.91,3.5169,1042.09,235.57,965,0.20,-487.95,3.5169,487.95,487.96,2
25,ok,53.36,83.05,1002.26,794.36,1082,53.64,-404.93,3.5168,1042.04,235.72,967,0.28,-487.98,3.5168,487.98,487.99,2
26,ok,53.36,83.05,1002.12,794.41,1072,53.71,-404.95,3.5168,1041.92,235.65,960,0.35,-488.00,3.5168,488.00,488.01,2
27,ok,53.35,83.05,1002.15,794.46,1076,53.79,-404.96,3.5168,1042.14,235.89,992,0.44,-488.01,3.5168,488.01,488.02,2
28,ok,53.35,83.05,1002.11,794.54,1072,53.87,-404.97,3.5168,1041.97,235.88,970,0.52,-488.02,3.5168,488.02,488.03,2
29,ok,53.34,83.06,1002.11,794.54,1072,53.96,-404.98,3.5169,1041.75,235.91,986,0.62,-488.04,3.5169,488.04,488.05,2
30,ok,53.34,83.06,1002.12,794.53,1076,54.05,-404.99,3.5169,1041.47,235.86,997,0.71,-488.05,3.5169,488.05,488.06,2
31,ok,53.33,83.06,1002.10,794.56,1071,54.15,-404.99,3.5170,1041.36,235.97,1036,0.82,-488.05,3.5170,488.05,488.06,2
32,ok,53.32,83.06,1002.08,794.59,1072,54.25,-404.99,3.5171,1040.91,235.78,1038,0.93,-488.05,3.5171,488.05,488.06,2
33,ok,53.32,83.07,1002.02,794.58,1087,54.35,-404.98,3.5172,1040.52,235.45,1021,1.03,-488.05,3.5172,488.05,488.06,2
34,ok,53.31,83.07,1002.08,794.53,1080,54.45,-404.97,3.5173,1039.27,235.68,1006,1.14,-488.04,3.5173,488.04,488.05,2
35,ok,53.30,83.07,1002.13,794.50,1077,54.56,-404.96,3.5175,1039.76,235.51,1007,1.26,-488.03,3.5175,488.03,488.04,2
36,ok,53.30,83.08,1002.74,794.42,1090,54.66,-404.94,3.5176,1039.13,235.21,1002,1.36,-488.02,3.5176,488.02,488.03,2
37,ok,53.29,83.08,1002.88,794.47,1089,54.77,-404.91,3.5179,1038.09,234.93,1005,1.48,-487.99,3.5179,487.99,488.00,2
38,ok,53.28,83.10,1003.20,794.50,1085,54.87,-404.86,3.5182,1037.45,235.02,1019,1.59,-487.96,3.5182,487.96,487.98,2
39,ok,53.27,83.12,1002.06,794.27,1096,54.97,-404.80,3.5185,1034.46,234.97,1095,1.70,-487.92,3.5185,487.92,487.94,2
40,ok,53.26,83.14,1001.96,794.20,1092,55.07,-404.72,3.5190,1032.05,235.44,1146,1.81,-487.86,3.5190,487.86,487.88,2
41,ok,53.25,83.19,1001.86,794.11,1088,55.16,-404.61,3.5196,1029.17,234.92,1091,1.91,-487.80,3.5196,487.80,487.82,2
42,ok,53.23,83.24,1001.31,793.98,1076,55.25,-404.48,3.5203,1027.20,235.25,1201,2.02,-487.72,3.5203,487.72,487.74,2
43,ok,53.22,83.30,1001.31,793.86,1070,55.33,-404.33,3.5211,1024.50,235.05,1239,2.11,-487.63,3.5211,487.63,487.65,2
44,ok,53.20,83.37,1000.98,793.81,1074,55.40,-404.14,3.5220,1021.83,235.12,1313,2.20,-487.51,3.5220,487.51,487.53,2
45,ok,53.18,83.44,1000.26,793.79,1064,55.46,-403.93,3.5231,1018.77,236.26,1333,2.28,-487.37,3.5231,487.38,487.39,2
46,ok,53.16,83.50,1000.20,794.00,1053,55.51,-403.68,3.5244,1015.94,237.87,1347,2.35,-487.18,3.5244,487.19,487.20,2
47,ok,53.13,83.55,999.35,794.17,1055,55.54,-403.40,3.5258,1012.84,239.16,1359,2.41,-486.95,3.5258,486.96,486.97,2
48,ok,53.11,83.58,999.23,794.24,1048,55.57,-403.07,3.5275,1010.13,239.76,1366,2.46,-486.65,3.5275,486.66,486.67,2
49,ok,53.08,83.58,998.94,794.13,1049,55.58,-402.69,3.5293,1007.67,239.68,1389,2.50,-486.27,3.5293,486.28,486.29,2
50,ok,53.05,83.55,998.86,793.92,1062,55.58,-402.28,3.5314,1005.63,238.75,1418,2.53,-485.83,3.5314,485.84,485.85,2
51,ok,53.02,83.48,999.19,793.87,1026,55.56,-401.82,3.5337,1004.05,237.34,1461,2.54,-485.30,3.5337,485.31,485.32,2
52,ok,52.98,83.38,999.15,793.93,1013,55.53,-401.31,3.5361,1003.55,235.98,1501,2.55,-484.69,3.5361,484.70,484.71,2
53,ok,52.94,83.25,999.35,793.79,1021,55.48,-400.77,3.5388,1003.36,235.27,1522,2.54,-484.02,3.5388,484.03,484.04,2
54,ok,52.90,83.07,999.57,794.07,1018,55.42,-400.19,3.5416,1003.70,234.71,1548,2.52,-483.26,3.5416,483.27,483.28,2
55,ok,52.86,82.85,1000.07,794.06,1033,55.35,-399.57,3.5447,1004.29,234.44,1556,2.49,-482.42,3.5447,482.43,482.44,2
56,ok,52.82,82.58,1000.37,794.15,1035,55.26,-398.92,3.5479,1004.93,234.26,1561,2.44,-481.50,3.5479,481.51,481.52,2
57,ok,52.77,82.27,1000.38,794.33,1028,55.15,-398.23,3.5513,1006.28,234.38,1576,2.38,-480.50,3.5513,480.51,480.52,2
58,ok,52.72,81.92,1000.32,794.54,1025,55.03,-397.49,3.5550,1007.62,234.34,1600,2.31,-479.41,3.5550,479.42,479.43,2
59,ok,52.67,81.52,1000.33,794.67,1023,54.90,-396.72,3.5588,1009.89,234.09,1623,2.23,-478.24,3.5588,478.25,478.26,2
60,ok,52.63,81.07,1000.39,794.83,1014,54.76,-395.91,3.5628,1012.13,233.70,1636,2.13,-476.98,3.5628,476.98,477.00,2
61,ok,52.57,80.58,1000.54,794.80,1008,54.61,-395.06,3.5670,1015.28,233.25,1643,2.04,-475.64,3.5670,475.64,475.66,2
62,ok,52.52,80.04,1000.65,794.88,1009,54.46,-394.17,3.5715,1018.72,232.92,1645,1.94,-474.21,3.5715,474.21,474.23,2
63,ok,52.47,79.46,1000.71,794.77,1005,54.29,-393.23,3.5762,1022.45,232.63,1625,1.82,-472.69,3.5762,472.69,472.71,2
64,ok,52.42,78.83,1000.95,794.34,1019,54.12,-392.25,3.5811,1026.65,231.99,1601,1.70,-471.08,3.5811,471.08,471.10,2
65,ok,52.36,78.15,1000.55,793.83,1004,53.94,-391.23,3.5863,1031.32,230.74,1579,1.58,-469.38,3.5863,469.38,469.40,2
66,ok,52.31,77.42,999.61,792.76,998,53.76,-390.17,3.5917,1036.01,229.08,1562,1.45,-467.59,3.5917,467.59,467.61,2
