frame,color,cx,cy,space_x,space_y,space_z,x,y,w,h,area
0,red,1041.04,235.35,53.25,-404.55,351.82,1012,208,60,58,989
0,red,225.55,772.39,-39.63,95.99,100.26,218,752,18,41,600
0,red,1002.38,794.58,53.39,82.88,79.49,982,780,41,35,1085
0,blue,562.68,769.31,0.04,100.09,97.45,554,758,19,22,358
0,blue,1395.67,774.08,100.05,100.12,84.47,1385,762,23,23,428
0,blue,231.15,966.86,-0.80,3.10,5.31,224,955,16,23,323
0,blue,1668.30,981.21,100.46,2.92,-20.07,1661,969,15,24,328
1,red,1041.45,235.38,53.20,-404.59,351.80,1012,209,60,57,1012
1,red,225.75,772.06,-39.72,96.26,100.42,218,751,18,42,617
1,red,1002.49,794.54,53.40,82.91,79.52,982,780,41,35,1084
1,blue,563.00,769.35,0.08,100.05,97.42,554,758,20,22,364
1,blue,1395.97,774.01,100.09,100.18,84.50,1386,762,22,23,424
1,blue,231.27,966.97,-0.78,3.07,5.26,224,955,16,23,328
1,blue,1668.46,981.26,100.47,2.90,-20.10,1661,969,15,24,321
2,red,1042.40,235.54,53.06,-404.77,351.71,1013,208,60,58,1031
2,red,225.90,772.15,-39.67,96.19,100.37,218,751,18,42,629
2,red,1002.92,794.62,53.45,82.85,79.47,982,780,41,35,1078
2,blue,563.41,769.37,0.14,100.04,97.41,554,758,21,22,366
2,blue,1396.39,773.99,100.15,100.20,84.50,1386,762,23,23,427
2,blue,231.57,966.81,-0.77,3.12,5.33,224,955,16,23,341
2,blue,1668.59,981.26,100.48,2.90,-20.10,1661,969,15,24,315
3,red,1042.00,235.31,53.12,-404.52,351.83,1013,208,60,58,986
3,red,225.96,771.98,-39.72,96.32,100.45,218,751,18,42,634
3,red,1003.03,794.67,53.46,82.82,79.44,983,780,40,35,1072
3,blue,563.67,769.40,0.17,100.01,97.39,554,758,21,22,368
3,blue,1396.52,774.07,100.15,100.14,84.46,1386,762,23,23,430
3,blue,231.55,966.72,-0.79,3.14,5.38,224,955,16,23,344
3,blue,1668.69,981.24,100.49,2.91,-20.09,1662,969,14,24,310
4,red,1041.98,235.37,53.12,-404.58,351.80,1013,208,60,58,966
4,red,225.98,771.96,-39.72,96.33,100.46,218,751,18,42,636
4,red,1002.97,794.52,53.46,82.92,79.52,983,780,40,35,1076
4,blue,563.64,769.32,0.16,100.08,97.43,554,758,21,22,366
4,blue,1396.45,774.04,100.15,100.16,84.48,1386,762,23,23,427
4,blue,231.57,966.69,-0.79,3.15,5.39,224,955,16,23,345
4,blue,1668.68,981.17,100.49,2.93,-20.05,1662,969,14,24,312
