frame,color,cx,cy,x,y,w,h,area
0,red,88.41,579.83,20,546,112,68,3188
0,red,162.88,571.12,160,566,8,10,64
0,red,1784.80,587.45,1761,576,49,22,484
0,red,1755.84,595.59,1753,590,6,12,63
0,red,187.50,599.50,184,592,8,16,128
0,red,1788.11,624.59,1768,600,48,40,680
0,red,57.53,690.08,49,683,15,13,142
0,red,1905.84,847.84,1870,707,66,297,11934
0,red,131.85,730.44,114,727,37,7,224
0,red,1511.27,917.31,1484,736,54,301,7555
0,red,1833.83,1332.93,1765,1202,121,266,21309
0,red,3114.66,1227.58,3106,1216,14,22,200
0,red,1626.09,1371.23,1580,1228,106,304,21504
0,red,3144.04,1234.08,3138,1230,12,8,53
0,red,419.40,1377.12,386,1330,68,94,5369
0,red,2888.28,1403.22,2864,1401,48,5,192
0,red,3017.11,1411.71,2975,1404,88,21,559
0,red,3167.77,1409.15,3158,1404,23,13,97
0,red,3224.39,1409.75,3215,1404,17,13,106
0,red,2947.61,1421.22,2930,1420,38,4,128
0,red,3147.70,1424.97,3140,1421,16,9,80
0,red,3332.19,1433.64,3320,1429,26,12,121
0,red,3191.31,1446.44,3184,1444,16,5,48
0,red,3178.60,1464.30,3176,1460,7,9,53
0,red,3254.39,1469.36,3243,1467,23,6,114
0,red,3326.72,1470.44,3292,1468,72,6,291
0,red,3310.10,1493.10,3297,1491,28,5,87
0,red,308.75,1497.52,285,1494,51,8,196
0,red,3361.69,1511.14,3346,1508,28,9,124
0,red,3129.59,1520.11,3122,1518,17,5,76
0,red,1625.99,1586.87,1608,1573,38,30,544
0,red,1892.90,1621.06,1886,1619,14,6,48
0,red,1534.02,1626.30,1528,1624,13,6,53
0,red,3121.48,1989.57,3112,1988,20,4,61
0,red,3220.00,2024.47,3200,2021,34,11,135
0,blue,1550.93,1199.07,1544,1192,14,19,197
0,blue,1107.47,1370.03,1085,1344,45,50,1818
0,blue,2784.72,1378.55,2763,1354,43,48,1717
0,blue,447.90,1790.23,426,1748,46,84,3015
0,blue,3340.20,1807.03,3330,1764,22,81,746
0,blue,75.75,1890.33,70,1884,13,14,88
1,red,86.10,579.45,14,544,118,70,3288
1,red,1782.90,588.82,1761,576,49,23,534
1,red,189.18,597.87,184,588,16,20,164
1,red,1755.88,596.03,1753,590,6,13,67
1,red,1811.66,609.67,1806,602,11,15,91
1,red,1783.57,627.22,1768,614,36,28,628
1,red,56.57,691.27,49,686,15,10,101
1,red,1841.63,702.27,1839,696,6,12,52
1,red,1901.56,828.70,1869,709,63,261,9995
1,red,1844.32,728.08,1839,725,12,8,73
1,red,131.20,730.55,113,728,37,7,223
1,red,21.50,732.50,18,730,8,6,48
1,red,1510.57,918.11,1484,749,53,287,7562
1,red,10.83,761.96,7,756,13,16,69
1,red,1872.08,948.55,1866,931,14,35,267
1,red,1833.52,1333.35,1764,1202,122,267,21400
1,red,3114.26,1226.06,3106,1216,14,22,164
1,red,1625.57,1371.40,1580,1230,106,302,21554
1,red,3143.78,1234.45,3138,1230,12,9,60
1,red,418.27,1377.18,386,1331,68,91,5332
1,red,2889.53,1403.41,2866,1402,46,4,174
1,red,3014.88,1412.38,2975,1404,86,21,508
1,red,3224.04,1409.88,3215,1404,16,13,113
1,red,3169.97,1410.34,3162,1406,19,11,76
1,red,3283.69,1410.69,3280,1408,9,6,45
1,red,2947.72,1421.30,2929,1420,39,4,125
1,red,3147.63,1425.01,3140,1421,16,9,79
1,red,3330.14,1432.65,3320,1424,24,17,126
1,red,3291.46,1444.65,3289,1437,7,14,46
1,red,3190.67,1446.40,3184,1444,15,5,45
1,red,3218.67,1448.91,3214,1444,9,13,46
1,red,3361.00,1451.88,3354,1450,15,4,48
1,red,3254.22,1467.28,3243,1456,23,17,148
1,red,3178.48,1464.46,3176,1461,7,8,46
1,red,3325.89,1470.79,3292,1468,72,6,290
1,red,3359.00,1505.12,3340,1493,38,24,330
1,red,312.99,1497.67,292,1494,44,8,169
1,red,3130.16,1520.59,3122,1518,18,6,70
1,red,1624.19,1588.68,1606,1574,39,30,559
1,red,3354.89,1578.11,3346,1577,18,4,57
1,red,1889.40,1622.22,1880,1617,24,10,153
1,red,1534.22,1627.08,1528,1625,13,5,49
1,blue,1550.24,1199.16,1543,1192,14,19,197
1,blue,1106.61,1370.75,1080,1345,49,49,1822
1,blue,2784.66,1378.79,2762,1354,44,48,1740
1,blue,446.56,1791.08,425,1748,45,86,3005
1,blue,3340.30,1806.72,3330,1766,22,80,718
1,blue,74.76,1891.30,69,1886,13,12,82
2,red,81.40,580.88,12,544,114,68,3000
2,red,129.50,552.50,128,546,4,14,56
2,red,1770.55,581.82,1763,576,15,12,158
2,red,1793.12,592.45,1769,584,41,16,314
2,red,188.28,598.77,184,592,12,16,148
2,red,1757.53,597.26,1754,592,7,12,68
2,red,1790.26,625.10,1770,602,48,40,701
2,red,55.05,691.63,47,687,15,9,108
2,red,1839.32,702.40,1836,696,6,12,47
2,red,1893.40,811.99,1856,710,74,215,8920
2,red,1842.63,728.05,1836,723,15,10,112
2,red,130.51,731.07,112,728,38,7,249
2,red,20.50,740.50,16,736,10,10,100
2,red,1510.26,915.77,1483,740,55,295,7725
2,red,49.80,861.89,44,857,14,8,61
2,red,1834.81,979.72,1826,969,18,18,180
2,red,1833.09,1333.55,1763,1202,122,267,21450
2,red,1625.42,1371.44,1580,1229,105,303,21575
2,red,3143.28,1235.08,3138,1232,12,7,53
2,red,417.98,1378.03,385,1332,68,92,5400
2,red,2888.68,1403.45,2865,1402,47,4,182
2,red,3011.05,1413.62,2950,1404,122,21,646
2,red,3223.75,1410.31,3215,1404,16,14,122
2,red,3166.79,1409.05,3162,1406,11,7,56
2,red,2935.20,1421.83,2929,1420,13,5,46
2,red,3147.54,1425.42,3140,1421,16,10,78
2,red,3330.35,1432.47,3320,1424,25,17,138
2,red,3291.00,1444.60,3289,1437,7,14,55
2,red,3190.75,1446.75,3184,1445,15,4,48
2,red,3218.58,1448.94,3214,1444,9,13,48
2,red,3361.00,1451.88,3354,1450,15,4,48
2,red,3183.42,1466.66,3176,1461,19,13,92
2,red,3252.10,1469.67,3243,1467,19,6,73
2,red,3325.90,1471.03,3292,1468,72,6,311
2,red,312.51,1497.52,283,1492,65,10,242
2,red,3360.14,1506.11,3346,1493,28,24,271
2,red,3228.80,1509.20,3226,1504,9,9,45
2,red,3110.85,1514.20,3105,1511,11,6,46
2,red,3129.70,1520.55,3122,1518,17,6,69
2,red,1623.68,1588.81,1606,1575,39,29,565
2,red,3288.18,1579.23,3280,1577,16,9,66
2,red,3354.75,1578.12,3346,1577,18,4,56
2,red,1887.81,1622.71,1880,1617,20,11,135
2,red,1534.51,1627.47,1528,1626,13,5,47
2,red,3221.65,2024.02,3208,2022,25,10,89
2,blue,1549.91,1199.15,1543,1192,14,19,200
2,blue,1106.47,1370.80,1080,1345,49,49,1828
2,blue,2784.45,1379.23,2762,1354,44,48,1709
2,blue,446.22,1791.46,424,1750,46,84,3035
2,blue,3340.05,1807.88,3330,1766,21,80,730
2,blue,74.28,1891.82,68,1886,14,13,90
3,red,82.02,581.56,12,544,114,74,3093
3,red,1782.28,588.79,1756,575,56,28,604
3,red,1791.59,624.25,1772,600,48,40,693
3,red,1852.72,691.65,1851,681,5,23,68
3,red,56.57,691.27,49,686,15,10,101
3,red,23.16,720.26,14,704,18,38,537
3,red,1887.08,789.10,1845,708,81,179,7351
3,red,1845.64,739.55,1834,724,20,32,221
3,red,130.05,731.31,112,728,38,8,260
3,red,1509.87,912.68,1482,739,55,295,7999
3,red,1828.00,981.75,1823,978,10,7,48
3,red,1832.25,1333.55,1763,1202,121,267,21372
3,red,3114.58,1227.24,3106,1216,17,23,204
3,red,1624.83,1371.41,1580,1230,104,302,21579
3,red,3142.20,1235.43,3136,1232,13,7,56
3,red,417.57,1378.20,384,1332,68,92,5384
3,red,2836.00,1402.82,2828,1401,17,4,51
3,red,2888.29,1403.51,2864,1402,48,5,190
3,red,3010.40,1413.91,2948,1405,124,20,620
3,red,3223.40,1410.91,3215,1405,16,13,101
3,red,3168.85,1410.62,3161,1406,19,12,79
3,red,3275.59,1420.59,3264,1414,27,14,153
3,red,3146.46,1425.73,3139,1421,16,10,71
3,red,3330.24,1432.94,3318,1424,27,17,173
3,red,3291.16,1441.64,3282,1430,14,21,143
3,red,3192.44,1449.61,3183,1445,17,12,71
3,red,3177.62,1464.42,3174,1461,8,8,45
3,red,3251.66,1469.59,3243,1467,19,5,70
3,red,3305.27,1471.40,3280,1468,48,7,208
3,red,311.70,1497.53,284,1492,64,10,243
3,red,3309.35,1493.73,3295,1492,30,4,92
3,red,3355.47,1503.89,3332,1493,42,24,315
3,red,3127.52,1520.61,3121,1518,15,6,66
3,red,1624.19,1588.77,1606,1575,42,29,580
3,red,3356.00,1578.33,3349,1577,15,4,45
3,red,1886.61,1622.82,1880,1617,18,11,103
3,red,2979.45,1908.77,2976,1900,8,18,66
3,red,3316.25,2016.96,3308,2013,18,7,56
3,red,3216.51,2025.12,3200,2022,33,10,103
3,blue,1549.80,1199.47,1543,1192,14,20,201
3,blue,1105.99,1370.71,1084,1346,44,48,1805
3,blue,2784.02,1379.48,2762,1354,44,48,1711
3,blue,446.16,1792.05,424,1750,46,84,3023
3,blue,3339.83,1808.01,3330,1766,21,80,730
3,blue,73.81,1892.26,68,1886,13,14,89
4,red,66.28,579.41,12,548,96,56,1705
4,red,1786.56,586.93,1765,574,48,23,528
4,red,1759.96,595.39,1757,590,7,12,67
4,red,1792.29,622.89,1773,598,47,40,702
4,red,1849.59,683.54,1844,658,10,54,200
4,red,57.53,690.08,49,683,15,13,142
4,red,21.39,718.65,12,706,20,36,347
4,red,1882.90,768.17,1837,708,87,144,5837
4,red,1837.44,731.50,1834,722,9,19,80
4,red,129.98,731.61,112,728,37,8,247
4,red,1508.92,908.21,1482,737,54,297,8251
4,red,1833.40,857.71,1832,850,5,15,52
4,red,49.89,863.05,44,860,12,6,57
4,red,1778.37,979.31,1770,976,17,7,100
4,red,1831.55,1333.71,1762,1202,122,268,21345
4,red,3121.84,1231.63,3106,1216,43,23,279
4,red,1624.20,1371.70,1579,1229,103,303,21589
4,red,417.22,1378.54,384,1332,68,92,5428
4,red,2884.25,1403.53,2852,1401,60,7,236
4,red,2812.42,1408.06,2807,1402,14,13,65
4,red,3014.70,1412.89,2963,1405,109,20,596
4,red,3168.12,1410.47,3160,1406,20,11,78
4,red,3225.17,1412.43,3221,1406,9,12,53
4,red,3266.33,1416.33,3262,1414,10,6,45
4,red,2934.50,1422.43,2929,1421,12,4,46
4,red,3146.22,1425.74,3139,1421,16,10,81
4,red,3331.45,1433.36,3318,1424,31,17,186
4,red,3191.61,1450.02,3182,1445,16,12,112
4,red,3181.04,1465.92,3174,1461,18,10,75
4,red,3313.51,1471.54,3280,1469,64,6,287
4,red,3322.59,1494.06,3301,1493,43,4,133
4,red,305.72,1498.37,284,1496,44,6,193
4,red,3354.65,1499.76,3344,1498,24,4,82
4,red,3227.80,1509.20,3225,1504,9,9,45
4,red,3361.44,1512.26,3346,1509,27,9,117
4,red,3314.76,1513.31,3307,1511,15,5,45
4,red,3127.52,1520.61,3121,1518,15,6,66
4,red,3235.42,1564.45,3220,1562,30,10,121
4,red,3088.05,1570.03,3074,1568,30,5,130
4,red,1624.30,1588.66,1606,1575,42,29,558
4,red,3244.46,1579.31,3238,1576,17,9,105
4,red,3287.79,1578.11,3279,1577,18,4,57
4,red,3355.96,1578.38,3348,1577,17,4,50
4,red,3054.51,1581.34,3042,1580,25,4,74
4,red,3091.13,1581.88,3078,1580,26,4,83
4,red,1891.13,1624.64,1884,1622,16,6,53
4,red,1532.88,1627.88,1527,1626,13,5,48
4,red,3309.50,2017.12,3302,2013,16,7,64
4,red,3347.76,2021.96,3344,2018,8,8,49
4,blue,1548.84,1199.06,1542,1192,13,19,182
4,blue,1105.69,1370.96,1080,1346,48,49,1829
4,blue,2783.89,1379.57,2762,1354,44,48,1702
4,blue,445.74,1792.20,424,1750,45,84,3029
4,blue,3339.29,1808.89,3329,1766,22,80,725
4,blue,73.49,1892.48,67,1886,14,14,91
5,red,56.84,588.60,0,545,108,73,2903
5,red,1786.36,586.46,1765,574,48,22,566
5,red,1759.52,594.49,1756,589,7,12,69
5,red,1816.48,605.43,1814,598,6,16,77
5,red,1788.01,623.66,1772,611,37,27,669
5,red,1846.36,688.15,1839,665,13,51,176
5,red,54.57,693.33,46,688,18,12,136
5,red,1883.84,743.39,1840,696,82,93,4780
5,red,26.57,715.98,14,706,24,22,416
